season,round,race_name,circuit,country,date,position,constructor_name,points,points_this_round,leader_points,points_gap,total_rounds,season_progress_pct
2021,1,Bahrain Grand Prix,Sakhir,Bahrain,2021-03-28,7,Alfa Romeo Racing,0.0,0.0,41.0,41.0,22,4.5
2021,2,Emilia Romagna Grand Prix,Imola,Italy,2021-04-18,8,Alfa Romeo Racing,0.0,0.0,60.0,60.0,22,9.1
2021,3,Portuguese Grand Prix,Portimão,Portugal,2021-05-02,8,Alfa Romeo Racing,0.0,0.0,101.0,101.0,22,13.6
2021,4,Spanish Grand Prix,Barcelona,Spain,2021-05-09,8,Alfa Romeo Racing,0.0,0.0,141.0,141.0,22,18.2
2021,5,Monaco Grand Prix,Monte Carlo,Monaco,2021-05-23,8,Alfa Romeo Racing,1.0,1.0,149.0,148.0,22,22.7
2021,6,Azerbaijan Grand Prix,Baku,Azerbaijan,2021-06-06,8,Alfa Romeo Racing,2.0,1.0,174.0,172.0,22,27.3
2021,7,French Grand Prix,Le Castellet,France,2021-06-20,8,Alfa Romeo Racing,2.0,0.0,215.0,213.0,22,31.8
2021,8,Styrian Grand Prix,Spielberg,Austria,2021-06-27,8,Alfa Romeo Racing,2.0,0.0,252.0,250.0,22,36.4
2021,9,Austrian Grand Prix,Spielberg,Austria,2021-07-04,8,Alfa Romeo Racing,2.0,0.0,286.0,284.0,22,40.9
2021,10,British Grand Prix,Silverstone,Great Britain,2021-07-18,8,Alfa Romeo Racing,2.0,0.0,286.0,284.0,22,45.5
2021,11,Hungarian Grand Prix,Budapest,Hungary,2021-08-01,9,Alfa Romeo Racing,3.0,1.0,300.0,297.0,22,50.0
2021,12,Belgian Grand Prix,Spa-Francorchamps,Belgium,2021-08-29,9,Alfa Romeo Racing,3.0,0.0,307.5,304.5,22,54.5
2021,13,Dutch Grand Prix,Zandvoort,Netherlands,2021-09-05,9,Alfa Romeo Racing,3.0,0.0,341.5,338.5,22,59.1
2021,14,Italian Grand Prix,Monza,Italy,2021-09-12,9,Alfa Romeo Racing,3.0,0.0,356.5,353.5,22,63.6
2021,15,Russian Grand Prix,Sochi,Russia,2021-09-26,9,Alfa Romeo Racing,7.0,4.0,391.5,384.5,22,68.2
2021,16,Turkish Grand Prix,Istanbul,Turkey,2021-10-10,9,Alfa Romeo Racing,7.0,0.0,427.5,420.5,22,72.7
2021,17,United States Grand Prix,Austin,United States,2021-10-24,9,Alfa Romeo Racing,7.0,0.0,454.5,447.5,22,77.3
2021,18,Mexico City Grand Prix,Mexico City,Mexico,2021-11-07,9,Alfa Romeo Racing,11.0,4.0,472.5,461.5,22,81.8
2021,19,São Paulo Grand Prix,São Paulo,Brazil,2021-11-14,9,Alfa Romeo Racing,11.0,0.0,512.5,501.5,22,86.4
2021,20,Qatar Grand Prix,Lusail,Qatar,2021-11-21,9,Alfa Romeo Racing,11.0,0.0,537.5,526.5,22,90.9
2021,21,Saudi Arabian Grand Prix,Jeddah,Saudi Arabia,2021-12-05,9,Alfa Romeo Racing,13.0,2.0,578.5,565.5,22,95.5
2021,22,Abu Dhabi Grand Prix,Yas Island,Abu Dhabi,2021-12-12,9,Alfa Romeo Racing,13.0,0.0,604.5,591.5,22,100.0
2021,1,Bahrain Grand Prix,Sakhir,Bahrain,2021-03-28,5,AlphaTauri,2.0,2.0,41.0,39.0,22,4.5
2021,2,Emilia Romagna Grand Prix,Imola,Italy,2021-04-18,5,AlphaTauri,8.0,6.0,60.0,52.0,22,9.1
2021,3,Portuguese Grand Prix,Portimão,Portugal,2021-05-02,6,AlphaTauri,9.0,1.0,101.0,92.0,22,13.6
2021,4,Spanish Grand Prix,Barcelona,Spain,2021-05-09,6,AlphaTauri,10.0,1.0,141.0,131.0,22,18.2
