id,name,driver,user_strategy,remin_strategy,result,gap_seconds,created_at
1,test remin,VER,Med (17L) → Med (18L) → Hard (17L),Soft (15L) → Hard (37L),win,6.407,2026-03-24 03:35:42.639584+00
2,Anonymous,VER,Med (17L) → Med (18L) → Hard (17L),Soft (15L) → Hard (37L),win,6.407,2026-03-24 03:37:39.490576+00
3,Na tha da leo,LEC,Med (17L) → Soft (18L) → Med (17L),Soft (15L) → Hard (37L),win,13.844,2026-03-24 03:42:23.328951+00
4,franz herman,LEC,Soft (17L) → Med (18L) → Hard (17L),Soft (17L) → Med (19L) → Hard (16L),win,0.669,2026-03-24 03:54:08.506262+00
5,franz herman,RUS,Soft (17L) → Med (18L) → Hard (17L),Soft (17L) → Med (19L) → Hard (16L),lose,2.225,2026-03-24 03:55:34.112373+00
6,franz herman,RUS,Soft (17L) → Med (18L) → Hard (17L),Soft (17L) → Med (19L) → Hard (16L),lose,2.225,2026-03-24 03:55:48.476587+00
7,franz herman,RUS,Soft (17L) → Med (18L) → Hard (17L),Soft (17L) → Med (19L) → Hard (16L),lose,2.225,2026-03-24 03:55:51.523187+00
8,franz herman,RUS,Soft (17L) → Med (18L) → Hard (17L),Soft (17L) → Med (19L) → Hard (16L),lose,2.225,2026-03-24 03:55:54.680184+00
9,franz herman,RUS,Soft (17L) → Med (18L) → Hard (17L),Soft (17L) → Med (19L) → Hard (16L),lose,2.225,2026-03-24 03:55:56.026188+00
10,franz herman,RUS,Soft (17L) → Med (18L) → Hard (17L),Soft (17L) → Med (19L) → Hard (16L),lose,2.225,2026-03-24 03:55:58.990853+00
11,Saran,LEC,Med (15L) → Med (21L) → Soft (16L),Soft (15L) → Hard (37L),win,12.668,2026-03-24 03:57:00.425024+00
12,franz herman,RUS,Soft (11L) → Med (30L) → Hard (11L),Med (22L) → Hard (30L),lose,4.482,2026-03-24 03:57:34.818966+00
13,Anonymous,VER,Med (19L) → Med (20L) → Soft (13L),Soft (15L) → Hard (37L),win,22.677,2026-03-24 03:59:56.314694+00
14,Rajshiva,RUS,Soft (15L) → Med (4L) → Hard (33L),Soft (17L) → Med (19L) → Hard (16L),lose,19.865,2026-03-24 04:04:13.141242+00
